Ticker,Sector,Drawdown from ATH (%)
MRSH,Financial,-31.30
EXE,Energy,-31.26
MLM,Basic Materials,-31.02
NXPI,Technology,-30.74
PGR,Financial,-30.67
GEHC,Healthcare,-30.28
MCD,Consumer Cyclical,-30.26
JKHY,Technology,-30.24
RVTY,Healthcare,-30.05
RF,Financial,-30.04
IBM,Technology,-29.99
LRCX,Technology,-29.92
DHI,Consumer Cyclical,-29.86
AWK,Utilities,-29.84
KMI,Energy,-29.84
Q,Technology,-29.77
ELV,Healthcare,-29.74
XYL,Industrials,-29.58
ODFL,Industrials,-29.48
OMC,Communication Services,-29.45
PEG,Utilities,-29.31
CMI,Industrials,-28.89
CHRW,Industrials,-28.84
MCHP,Technology,-28.68
AVGO,Technology,-28.28
IR,Industrials,-28.11
JBL,Technology,-28.02
CI,Healthcare,-27.66
CBOE,Financial,-27.56
ABT,Healthcare,-27.43
UHS,Healthcare,-26.36
RMD,Healthcare,-26.23
HWM,Industrials,-26.20
VMC,Basic Materials,-26.18
AVY,Consumer Cyclical,-26.05
DVA,Healthcare,-26.00
FITB,Financial,-25.84
CDNS,Technology,-25.82
SPGI,Financial,-25.80
VZ,Communication Services,-25.57
SBUX,Consumer Cyclical,-25.47
EQT,Energy,-25.18
DHR,Healthcare,-25.16
SJM,Consumer Defensive,-24.93
BMY,Healthcare,-24.91
ESS,Real Estate,-24.74
KR,Consumer Defensive,-24.73
COF,Financial,-24.47
CVS,Healthcare,-24.45
TXT,Industrials,-24.38
CAT,Industrials,-24.35
EXPE,Consumer Cyclical,-24.26
LMT,Industrials,-24.18
QCOM,Technology,-24.12
ULTA,Consumer Cyclical,-23.94
MO,Consumer Defensive,-23.81
TSLA,Consumer Cyclical,-23.80
OKE,Energy,-23.32
GEN,Technology,-23.30
PLD,Real Estate,-23.25
SNDK,Technology,-22.84
SW,Consumer Cyclical,-22.61
TJX,Consumer Cyclical,-22.59
HPQ,Technology,-22.45
TTWO,Communication Services,-22.42
REG,Real Estate,-22.21
AXP,Financial,-22.07
STE,Healthcare,-22.07
NEE,Utilities,-22.01
MDLZ,Consumer Defensive,-21.82
SRE,Utilities,-21.81
JBHT,Industrials,-21.73
CBRE,Real Estate,-21.72
BE,Industrials,-21.66
FIX,Industrials,-21.61
MMM,Industrials,-21.59
HCA,Healthcare,-21.57
CMS,Utilities,-21.42
CL,Consumer Defensive,-21.38
MAS,Industrials,-21.38
VEEV,Healthcare,-21.28
DTE,Utilities,-21.10
EME,Industrials,-21.03
ORLY,Consumer Cyclical,-20.99
WST,Healthcare,-20.93
MPWR,Technology,-20.92
MRVL,Technology,-20.91
PHM,Consumer Cyclical,-20.58
DOV,Industrials,-20.42
GEV,Industrials,-20.41
SYF,Financial,-20.39
HOOD,Financial,-20.25
NI,Utilities,-20.24
TER,Technology,-20.24
UAL,Industrials,-20.21
ADP,Technology,-20.08
RL,Consumer Cyclical,-19.95
PWR,Industrials,-19.51
PCAR,Industrials,-19.50
STX,Technology,-19.31
BDX,Healthcare,-19.20
LNT,Utilities,-19.19
GS,Financial,-18.86
STLD,Basic Materials,-18.86
ATO,Utilities,-18.84
INCY,Healthcare,-18.62
ALL,Financial,-18.60
FERG,Industrials,-18.58
SHW,Basic Materials,-18.47
TXN,Technology,-18.38
CSCO,Technology,-18.36
HON,Industrials,-18.33
PG,Consumer Defensive,-18.31
ACGL,Financial,-18.30
MSCI,Financial,-18.26
WMT,Consumer Defensive,-18.22
HUBB,Industrials,-18.00
CNP,Utilities,-17.90
GE,Industrials,-17.76
CME,Financial,-17.73
RSG,Industrials,-17.64
CHD,Consumer Defensive,-17.55
COST,Consumer Defensive,-17.49
ICE,Financial,-17.43
BG,Consumer Defensive,-17.42
YUM,Consumer Cyclical,-17.34
GOOGL,Communication Services,-17.32
COR,Healthcare,-17.29
SO,Utilities,-17.23
PNW,Utilities,-17.19
GOOG,Communication Services,-17.18
DD,Basic Materials,-17.15
ADM,Consumer Defensive,-16.92
TKO,Communication Services,-16.68
VLTO,Industrials,-16.63
CINF,Financial,-16.55
P,Technology,-16.55
FOX,Communication Services,-16.45
FOXA,Communication Services,-16.27
CTAS,Industrials,-16.26
ETR,Utilities,-16.23
J,Industrials,-16.22
WFC,Financial,-16.22
WM,Industrials,-16.22
XEL,Utilities,-16.11
SYY,Consumer Defensive,-16.02
APD,Basic Materials,-15.88
ALLE,Industrials,-15.85
AEP,Utilities,-15.78
AEE,Utilities,-15.70
WEC,Utilities,-15.63
FDX,Industrials,-15.60
RTX,Industrials,-15.29
WTW,Financial,-15.25
DUK,Utilities,-15.11
TEL,Technology,-15.11
CF,Basic Materials,-15.02
VTR,Real Estate,-14.72
MU,Technology,-14.59
MS,Financial,-14.58
DAL,Industrials,-14.56
IRM,Real Estate,-14.55
MAR,Consumer Cyclical,-14.43
FANG,Energy,-14.41
SPG,Real Estate,-14.40
CAH,Healthcare,-14.34
LIN,Basic Materials,-14.32
WRB,Financial,-14.30
FTV,Technology,-14.29
CFG,Financial,-14.23
MTB,Financial,-14.21
HLT,Consumer Cyclical,-14.18
GD,Industrials,-14.17
BAC,Financial,-14.15
DDOG,Technology,-14.09
INTC,Technology,-13.87
LITE,Technology,-13.69
AMP,Financial,-13.62
ADI,Technology,-13.61
TT,Industrials,-13.60
PNC,Financial,-13.49
RJF,Financial,-13.41
MCO,Financial,-13.35
HIG,Financial,-13.34
AMZN,Consumer Cyclical,-13.21
L,Financial,-13.20
SCHW,Financial,-13.12
BLK,Financial,-13.04
MTD,Healthcare,-12.97
ROK,Industrials,-12.96
DLR,Real Estate,-12.82
UNP,Industrials,-12.80
NWS,Communication Services,-12.70
MNST,Consumer Defensive,-12.48
URI,Industrials,-12.48
SNA,Industrials,-12.47
AIZ,Financial,-12.16
NSC,Industrials,-12.16
CSX,Industrials,-11.96
GL,Financial,-11.90
MCK,Healthcare,-11.86
NUE,Basic Materials,-11.83
ED,Utilities,-11.72
PH,Industrials,-11.70
CTVA,Basic Materials,-11.60
AFL,Financial,-11.51
EVRG,Utilities,-11.51
USB,Financial,-11.50
WMB,Energy,-11.20
NWSA,Communication Services,-11.18
NTRS,Financial,-11.13
LH,Healthcare,-11.06
TDY,Technology,-10.98
LLY,Healthcare,-10.96
EG,Financial,-10.90
LYV,Communication Services,-10.68
WSM,Consumer Cyclical,-10.62
ECL,Basic Materials,-10.52
GWW,Industrials,-10.51
VLO,Energy,-10.31
PRU,Financial,-9.93
WELL,Real Estate,-9.93
MPC,Energy,-9.91
MSFT,Technology,-9.88
BNY,Financial,-9.85
ITW,Industrials,-9.81
TRV,Financial,-9.61
COP,Energy,-9.55
FCX,Basic Materials,-9.55
MSI,Technology,-9.33
AMGN,Healthcare,-9.16
ROST,Consumer Cyclical,-8.96
GM,Consumer Cyclical,-8.80
NEM,Basic Materials,-8.68
XOM,Energy,-8.60
EBAY,Consumer Cyclical,-8.57
GRMN,Technology,-8.50
CB,Financial,-8.39
HSIC,Healthcare,-8.23
ETN,Industrials,-8.21
STT,Financial,-8.16
PM,Consumer Defensive,-8.14
TRGP,Energy,-8.10
EQIX,Real Estate,-8.06
SOLV,Healthcare,-8.00
EOG,Energy,-7.99
A,Healthcare,-7.94
APH,Technology,-7.92
JPM,Financial,-7.90
VRTX,Healthcare,-7.84
DELL,Technology,-7.67
PLTR,Technology,-7.58
CPAY,Technology,-7.56
PSX,Energy,-7.45
PKG,Consumer Cyclical,-7.31
IBKR,Financial,-7.28
JCI,Industrials,-7.11
EMR,Industrials,-7.07
DRI,Consumer Cyclical,-6.99
MA,Financial,-6.95
IEX,Industrials,-6.77
META,Communication Services,-6.55
BRK-B,Financial,-6.44
DGX,Healthcare,-6.37
NDAQ,Financial,-6.24
V,Financial,-6.24
IQV,Healthcare,-6.21
VRSN,Technology,-6.14
NTAP,Technology,-6.09
PFG,Financial,-5.99
KEYS,Technology,-5.76
AME,Industrials,-5.63
CVX,Energy,-5.63
MRK,Healthcare,-5.63
ANET,Technology,-5.31
NDSN,Industrials,-5.22
HPE,Technology,-4.81
KO,Consumer Defensive,-4.76
WAB,Industrials,-4.70
NVDA,Technology,-4.66
JNJ,Healthcare,-4.23
GILD,Healthcare,-3.76
MET,Financial,-3.70
FAST,Industrials,-3.65
WAT,Healthcare,-3.60
EXPD,Industrials,-3.37
TMO,Healthcare,-2.59
AMD,Technology,-2.57
AAPL,Technology,-2.41
DE,Industrials,-1.63
ABBV,Healthcare,-1.60
FTNT,Technology,-1.44
PANW,Technology,-1.40
FFIV,Technology,-1.30
CRWD,Technology,-0.52
